ID         Имя                       Приоритет    Время запуска        Состояние       Время CPU      
80011      AdGuardForSafar           0            2025-11-12 09:36:10  Running         00:00:01.8707583
80010      com.apple.WebKi           0            2025-11-12 09:36:10  Running         00:01:08.3423875
80008      com.apple.audio           0            2025-11-12 09:36:10  Running         00:00:00.0236708
80006      ImageIOXPCServi           0            2025-11-12 09:36:10  Running         00:00:01.6374500
80005      Safari                    0            2025-11-12 09:36:10  Running         00:05:19.4689666
79818      SandboxedServic           0            2025-11-12 09:29:47  Running         00:00:00.0177291
79816      MTLCompilerServ           0            2025-11-12 09:29:39  Running         00:00:00.0382375
79815      MTLCompilerServ           0            2025-11-12 09:29:39  Running         00:00:00.0596541
63312      remindd                   0            2025-11-12 09:12:31  Running         00:00:02.0458791
44793      mobilerepaird             0            2025-11-11 22:19:15  Running         00:00:00.0867416
44614      com.apple.Safar           0            2025-11-11 21:34:11  Running         00:00:00.0190166
44541      com.apple.sbd             0            2025-11-11 21:25:26  Running         00:00:00.2666750
44539      EscrowSecurityA           0            2025-11-11 21:25:25  Running         00:00:00.1780875
44535      CloudTelemetryS           0            2025-11-11 21:21:32  Running         00:00:00.5764166
44533      swtransparencyd           0            2025-11-11 21:21:31  Running         00:00:00.6153833
43508      PlugInLibrarySe           0            2025-11-11 19:58:17  Running         00:00:00.0114875
43358      DockHelper                0            2025-11-11 17:33:29  Running         00:00:01.8488208
43352      sociallayerd              0            2025-11-11 17:32:29  Running         00:00:00.4219458
43348      bookassetd                0            2025-11-11 17:32:27  Running         00:00:00.8578166
43349      bookdatastored            0            2025-11-11 17:32:27  Running         00:00:01.7201416
43331      MTLCompilerServ           0            2025-11-11 17:32:26  Running         00:00:00.0378375
43330      MTLCompilerServ           0            2025-11-11 17:32:26  Running         00:00:00.0528125
43329      PlugInLibrarySe           0            2025-11-11 17:32:19  Running         00:00:00.0280833
43328      com.apple.audio           0            2025-11-11 17:32:19  Running         00:00:00.0357583
43209      com.apple.dock.           0            2025-11-11 17:25:15  Running         00:00:00.8960500
43208      Dock                      0            2025-11-11 17:25:14  Running         00:00:45.6869958
